		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111100000  228  252  252  247  247  251  256  260  2.675984 0.953019 SUCCESS 132
111100010  219  245  248  257  260  268  264  267  8.063232 0.427318 SUCCESS 133
111100100  252  258  228  259  247  266  252  246  3.799152 0.874775 SUCCESS 134
111100110  243  214  242  262  244  269  267  205 17.634788 0.024138 SUCCESS 135
111101000  238  232  225  253  262  240  259  244  6.046909 0.641977 SUCCESS 136
111101010  246  240  255  241  243  222  246  247  4.460614 0.813360 SUCCESS 137
111101100  245  235  242  256  256  264  238  269  4.497980 0.809635 SUCCESS 138
111101110  236  253  261  237  279  256  279  239  9.661810 0.289569 SUCCESS 139
111110000  250  274  236  240  272  258  251  276  8.683451 0.369699 SUCCESS 140
111110010  244  260  256  255  241  260  258  276  4.632057 0.796080 SUCCESS 141
111110100  232  242  250  242  243  250  278  259  5.651143 0.686243 SUCCESS 142
111110110  250  249  249  224  230  285  230  276 13.979289 0.082307 SUCCESS 143
111111000  237  238  273  235  256  276  269  272 10.863717 0.209541 SUCCESS 144
111111010  226  235  250  243  237  236  268  265  7.293164 0.505358 SUCCESS 145
111111100  250  254  271  241  255  247  268  266  4.772986 0.781541 SUCCESS 146
111111110  260  258  262  227  258  242  238  276  7.387935 0.495413 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  246  225  242  243  259  254  266  244  4.726311 0.786388 SUCCESS   0
000000011  260  217  228  256  264  258  259  271 10.307887 0.244078 SUCCESS   1
000000101  220  255  268  244  260  243  253  248  5.985624 0.648842 SUCCESS   2
000000111  244  192  257  272  252  278  264  267 21.542537 0.005838 FAILURE   3
000001001  255  262  236  245  229  259  275  258  6.626400 0.577424 SUCCESS   4
000001011  229  256  264  232  224  240  249  249  7.336477 0.500802 SUCCESS   5
000001101  280  256  252  257  245  259  253  253  4.612016 0.798124 SUCCESS   6
000001111  232  216  271  273  238  247  261  258 11.534489 0.173213 SUCCESS   7
000010001  247  240  254  247  270  245  224  288 11.085972 0.196875 SUCCESS   8
000010011  234  267  220  246  229  248  266  255  9.043919 0.338605 SUCCESS   9
000010101  235  265  239  233  254  263  255  251  4.430489 0.816347 SUCCESS  10
000010111  233  220  256  240  229  262  240  246  8.372760 0.397930 SUCCESS  11
000011001  251  279  241  260  216  263  289  263 16.714739 0.033220 SUCCESS  12
000011011  278  244  251  249  255  221  237  244  7.829341 0.450316 SUCCESS  13
