		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111101010  264  255  246  284  236  249  251  240  6.999539 0.536682 SUCCESS 137
111101100  256  229  226  230  241  232  244  229  9.646166 0.290744 SUCCESS 138
111101110  242  234  266  267  240  231  238  252  6.094618 0.636634 SUCCESS 139
111110000  259  277  255  239  246  262  258  265  5.820905 0.667285 SUCCESS 140
111110010  229  253  240  255  244  247  241  261  3.397051 0.907031 SUCCESS 141
111110100  263  266  253  268  247  279  243  258  7.130384 0.522633 SUCCESS 142
111110110  269  223  250  258  225  239  255  230  9.612808 0.293260 SUCCESS 143
111111000  246  274  266  230  234  241  231  250  8.047717 0.428823 SUCCESS 144
111111010  262  268  262  295  263  254  245  245 11.894699 0.155964 SUCCESS 145
111111100  241  261  263  238  231  236  241  281  8.745382 0.364229 SUCCESS 146
111111110  248  252  268  244  235  243  250  244  2.803079 0.946101 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  218  258  256  256  262  219  244  230 11.167685 0.192378 SUCCESS   0
000000011  242  268  258  248  253  242  247  267  3.424848 0.904943 SUCCESS   1
000000101  233  253  274  246  258  235  265  232  7.148873 0.520659 SUCCESS   2
000000111  239  231  259  249  249  243  247  255  2.677406 0.952945 SUCCESS   3
000001001  234  251  240  235  279  263  232  233  9.118651 0.332386 SUCCESS   4
000001011  248  269  254  237  246  221  241  232  7.490206 0.484780 SUCCESS   5
000001101  259  248  242  269  229  240  252  243  4.565341 0.802861 SUCCESS   6
000001111  218  238  257  295  242  268  236  275 18.419208 0.018294 SUCCESS   7
000010001  247  259  270  244  250  237  253  254  2.980727 0.935561 SUCCESS   8
000010011  241  269  234  268  256  272  244  222  9.773261 0.281302 SUCCESS   9
